sample ID	forward sequence count	reverse sequence count
YUN3428.2	4591	4591
BAQ4166.1.2	4173	4173
YUN3533.3	4031	4031
BAQ4166.3	4016	4016
YUN3856.3	3989	3989
BAQ3473.3	3902	3902
BAQ4166.2	3880	3880
YUN3533.2	3754	3754
BAQ3473.1	3578	3578
YUN3428.3	3448	3448
BAQ4697.3	3397	3397
YUN3259.3	3322	3322
BAQ4166.1.3	3227	3227
YUN3259.2	3215	3215
YUN3856.1.1	3194	3194
YUN3428.1	3191	3191
BAQ4166.1.1	3125	3125
YUN3856.2	3093	3093
BAQ3473.2	3056	3056
YUN3533.1.1	2962	2962
YUN3856.1.2	2940	2940
YUN3533.1.2	2925	2925
BAQ2462.1	2907	2907
YUN2029.2	2858	2858
YUN1005.1.1	2851	2851
BAQ4697.1	2717	2717
BAQ2687.3	2699	2699
BAQ2687.1	2669	2669
BAQ4697.2	2484	2484
YUN3533.1.3	2428	2428
YUN3856.1.3	2385	2385
YUN3346.3	2385	2385
YUN1609.1	2321	2321
BAQ2420.1.1	2311	2311
YUN1242.3	2282	2282
BAQ2420.1.2	2161	2161
YUN3259.1.2	2114	2114
BAQ2420.1.3	2113	2113
BAQ2687.2	2111	2111
YUN3346.1	2109	2109
BAQ2420.3	2107	2107
BAQ2420.2	2060	2060
BAQ2462.2	1918	1918
BAQ2838.1	1845	1845
YUN1242.1	1804	1804
YUN3153.3	1751	1751
BAQ2838.2	1696	1696
BAQ2462.3	1531	1531
YUN3153.2	1445	1445
YUN1005.3	1355	1355
BAQ2838.3	1205	1205
YUN3259.1.3	893	893
YUN3346.2	581	581
YUN3259.1.1	198	198
YUN1242.2	37	37
YUN2029.1	25	25
BAQ895.2	21	21
YUN3008.1.3	19	19
BAQ1370.1.3	17	17
BAQ1552.1.1	14	14
YUN3008.3	13	13
YUN1005.1.3	11	11
YUN3184.2	9	9
YUN3153.1	9	9
BAQ1552.2	9	9
YUN3008.1.1	8	8
BAQ1370.1.2	7	7
YUN3184.1	6	6
YUN1609.3	6	6
YUN1005.2	5	5
YUN3008.1.2	4	4
YUN3008.2	3	3
YUN2029.3	2	2
BAQ895.3	1	1
BAQ1370.3	0	0
